LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(pixel/frame),(pixel),(frame),(pixel),(pixel),(pixel),
ID31543 → ID32015,0,31543,32015,0.1743308463882138,0.796677583941368,0.41752945571326316,0.41752945571326316,14.5,316.4527196580309,346.5162028624336,0.0,
ID31416 → ID31296,0,31416,31296,1.1505328411310276,2.9692490502245583,1.0726289391635058,1.0726289391635058,4.5,313.1363052026618,346.90816284441513,0.0,
ID32461 → ID32357,0,32461,32357,1.7624791389067922,2.7959277323407457,1.3275839479696914,1.3275839479696914,20.5,317.86738421762595,347.86225082434055,0.0,
ID32179 → ID31365,0,32179,31365,1.0256891814679485,NaN,1.012763141839171,1.012763141839171,0.5,311.4785909572905,346.8173220650799,0.0,
ID31222 → ID31980,0,31222,31980,1.8492332727801708,2.7368362326952016,1.3598651671324518,1.3598651671324518,12.5,316.1557552698329,346.8445683547625,0.0,
ID31062 → ID31799,0,31062,31799,0.3930378747990239,2.0750669036855167,0.6269273281641373,0.6269273281641373,17.5,317.90410406586875,347.12975872167044,0.0,
ID30733 → ID32461,0,30733,32461,0.3367337122097517,2.5997116225794823,0.5802876116287092,0.5802876116287092,19.5,317.73860231164383,347.48039740296804,0.0,
ID31649 → ID31407,0,31649,31407,0.6661788258443515,0.4094367146025682,0.8161977859834904,0.8161977859834904,2.5,312.7942789180177,346.58385434632635,0.0,
ID30755 → ID30845,0,30755,30845,1.3670761892065566,1.0204869601253979,1.1692203339005685,1.1692203339005685,6.5,314.2055663156645,346.61994924196887,0.0,
ID32263 → ID30682,0,32263,30682,0.12220431019897614,1.1084907652179155,0.34957733078530157,0.34957733078530157,10.5,315.8402325351834,346.79993019714016,0.0,
ID31365 → ID31649,0,31365,31649,0.2755500285103353,0.5442449651352143,0.5249285937252183,0.5249285937252183,1.5,312.1443198005698,346.4863782051282,0.0,
