LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(pixel/frame),(pixel),(frame),(pixel),(pixel),(pixel),
ID3082 → ID3222,0,3082,3222,13.404824849286992,0.36653899244882676,3.661260008424285,3.661260008424285,22.5,327.2182069758362,988.3874018731738,0.0,
ID8623 → ID8502,0,8623,8502,23.969493351237904,1.50511966237251,4.895864923712449,4.895864923712449,219.5,349.73091452580957,890.8980935402656,0.0,
ID2921 → ID2639,0,2921,2639,3.7030275228262206,0.20083121834835482,1.9243252123345005,1.9243252123345005,38.5,334.5318484105688,986.1304808326915,0.0,
ID2247 → ID2269,0,2247,2269,20.464006061354805,0.8290453232023889,4.523715957192141,4.523715957192141,7.5,327.7838037235096,974.237037037037,0.0,
ID2708 → ID2746,0,2708,2746,0.07656592950561679,1.6399518981520576,0.2767054923661921,0.2767054923661921,32.5,338.5096891677749,980.2007079509467,0.0,
ID2496 → ID2428,0,2496,2428,13.502034627992185,NaN,3.674511481543116,3.674511481543116,0.5,321.76363684913576,975.4997417634715,0.0,
ID8061 → ID8084,0,8061,8084,13.166376802019709,1.664582323044674,3.6285502341871623,3.6285502341871623,199.5,335.82382876432075,889.678227480754,0.0,
ID3498 → ID3387,0,3498,3387,6.305857359092908,1.9488780654500477,2.511146622380483,2.511146622380483,43.5,337.80743183940245,984.7821449579832,0.0,
ID2598 → ID2330,0,2598,2330,5.976137371670605,0.49162311118057417,2.4446139514595355,2.4446139514595355,15.5,327.546040578009,983.0660599653636,0.0,
ID6137 → ID6411,0,6137,6411,38.372775839057404,1.274627612402173,6.194576324419403,6.194576324419403,126.5,334.80404448707407,977.2992075454463,0.0,
ID8848 → ID8824,0,8848,8824,18.330773679131465,2.865342579939981,4.2814452792405815,4.2814452792405815,228.5,353.8385523031541,898.9750479154804,0.0,
ID7604 → ID7640,0,7604,7640,4.738960576634628,2.1267943385030676,2.1769153811378676,2.1769153811378676,179.5,330.67031942898535,884.6132549982129,0.0,
