LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(pixel/frame),(pixel),(frame),(pixel),(pixel),(pixel),
ID70298 → ID70394,0,70298,70394,1.1526623035317214,2.649909792672253,1.0736211173089516,1.0736211173089516,200.5,286.21674958040995,826.5951299871942,0.0,
ID56578 → ID56754,0,56578,56754,0.29888264194457215,1.969702571846768,0.5467016022882795,0.5467016022882795,25.5,275.33428793175386,816.182570873329,0.0,
ID60732 → ID60875,0,60732,60875,0.9377813440826749,1.8903786905765196,0.9683911111130021,0.9683911111130021,78.5,275.9660216975456,822.227598340628,0.0,
ID69671 → ID69855,0,69671,69855,0.12825621534513043,0.8157954575963984,0.3581287692229297,0.3581287692229297,190.5,284.6151961832951,826.4443410364515,0.0,
ID59673 → ID59977,0,59673,59977,0.455625962705275,1.5879879913652442,0.6750007131146418,0.6750007131146418,65.5,276.88814734624316,820.3623669956165,0.0,
ID68134 → ID68427,0,68134,68427,0.0845207873318127,2.218665832679547,0.29072459017395264,0.29072459017395264,171.5,280.8066210166663,825.8007775121018,0.0,
ID66078 → ID66177,0,66078,66177,0.2661292754781476,2.2996303552281496,0.5158771903061304,0.5158771903061304,145.5,276.9311751184314,826.1459208644078,0.0,
ID71240 → ID71250,0,71240,71250,0.016503423328251304,1.067109743241365,0.12846565038270466,0.12846565038270466,213.5,288.8465999244538,826.534421643074,0.0,
ID72598 → ID73109,0,72598,73109,0.7668180027024016,3.0836393469569976,0.8756814504729454,0.8756814504729454,235.5,290.4210491172124,825.160636933217,0.0,
ID68865 → ID68935,0,68865,68935,1.1691762146525044,2.3087019857004236,1.081284520675527,1.081284520675527,181.5,282.9114519253885,825.4030247749225,0.0,
ID66177 → ID66204,0,66177,66204,0.09235806832226164,2.237712356838731,0.3039047026984966,0.3039047026984966,146.5,276.8814569361121,825.9492959914653,0.0,
