LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(pixel/frame),(pixel),(frame),(pixel),(pixel),(pixel),
ID134672 → ID135119,0,134672,135119,2.307001885105366,1.5448896002946166,1.518881787732464,1.518881787732464,43.5,493.251772836875,270.1476130703519,0.0,
ID133699 → ID133871,0,133699,133871,13.32469556769868,0.22970291725685715,3.650300750307936,3.650300750307936,38.5,488.37613816580995,265.245417335059,0.0,
ID128992 → ID127561,0,128992,127561,81.27602543816921,2.017738766852621,9.015321704640895,9.015321704640895,13.5,443.6229230966701,227.51987200913214,0.0,
ID127702 → ID128554,0,127702,128554,4.317933617809086,0.07177851714211479,2.0779638153271787,2.0779638153271787,8.5,450.6865859052981,218.41474749505713,0.0,
ID127493 → ID128992,0,127493,128992,2.2903939475443345,2.77257339387618,1.513404753377078,1.513404753377078,12.5,444.2209126946598,223.32636381562395,0.0,
ID133145 → ID133168,0,133145,133168,18.76641264013047,0.09124908239425694,4.332021772813529,4.332021772813529,36.5,483.8724731305198,260.1065162639802,0.0,
ID129491 → ID129199,0,129491,129199,1.1636959139479754,1.2411700481439696,1.078747381896232,1.078747381896232,1.5,453.85523221350627,227.62700904113754,0.0,
ID132125 → ID132652,0,132125,132652,7.795158581445252,0.35124441674719586,2.7919811212551657,2.7919811212551657,26.5,469.535078552134,244.61637039438142,0.0,
ID135156 → ID135682,0,135156,135682,11.112034866009028,0.8108412988536977,3.333471893688175,3.333471893688175,47.5,491.69695521833023,279.2379709177476,0.0,
ID130080 → ID128721,0,130080,128721,2.594534352076601,0.08932341041429363,1.6107558325446476,1.6107558325446476,16.5,446.9443885284789,232.68399103360437,0.0,
ID131769 → ID131498,0,131769,131498,6.308260442147649,0.9190388041390424,2.511625060025411,2.511625060025411,21.5,453.3057334737357,231.1977926874823,0.0,
ID128159 → ID130049,0,128159,130049,17.45381199550114,0.5514999049700748,4.177775962818153,4.177775962818153,4.5,452.99809690425576,221.97879945070449,0.0,
