LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ¦Ã rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_0,0,0,361,0,0,0,0,0,360.0,0.0,360.0,68.18939124643744,35.34560047261757,773.6906696821902,0.0,0.721632522376805,3.5921140498387185,0.020177588013041113,0.646456771270105,0.4592183487034339,568.409972299169,259.78770805565,68.18939124643744,0.2624812072780224,0.18941497568454843,0.2624812072780226,1.7498241883092531
Track_1,1,1,361,0,0,0,0,0,360.0,0.0,360.0,55.31929158228181,536.1238315481032,665.6728360632187,0.0,0.6802310982288897,2.7702277184519692,0.042209583605242386,0.6086373811624313,0.39555729372760284,351.4404432132964,244.88319536240013,64.40844231504165,0.2259007258559141,0.15366469883967168,0.22590072585591395,1.554816417562214
Track_2,2,2,361,0,0,0,0,0,360.0,0.0,360.0,41.656190091672414,686.2527446446423,977.6664166942247,0.0,0.572404282716278,2.471182615680372,0.046292336488188264,0.524852265116514,0.3511626700064365,431.393351800554,206.06554177786006,44.11653769972534,0.2021501980985159,0.11571163914353448,0.2021501980985159,1.8418037715778453
Track_3,3,3,361,0,0,0,0,0,360.0,0.0,360.0,32.364961686460425,391.58067561276806,363.08145900464643,0.0,0.622093005913416,6.247672979361668,0.036145528498397736,0.5050003901200907,0.5946458703955441,464.4238227146814,223.9534821288297,45.7077730950315,0.1445164476962337,0.08990267135127895,0.14451644769623365,1.8598938636301938
Track_4,4,4,23,0,0,0,0,0,22.0,0.0,22.0,23.46229086674176,796.0243694738322,700.6467855370984,0.0,2.4555155869591667,5.231160850565524,0.08042179473856274,2.509786426642107,1.3237803485933008,365.30434782608694,54.02134291310166,24.003178925276245,0.43431520953640546,1.06646776667008,0.43431520953640534,1.5934944855966084
Track_5,5,5,11,0,0,0,0,0,10.0,2.0,12.0,11.013877340314806,224.64915232027553,369.9143165354672,0.0,1.8426723113807513,5.2400034848758485,0.6101397301957348,1.503690371509557,1.3852369157893314,385.0,18.42672311380751,13.96850935521018,0.5977122070099317,1.1013877340314806,0.5977122070099316,0.8469224159617982
Track_6,6,6,241,2,0,0,0,1,242.0,0.0,242.0,57.41773073369734,83.66933779329358,1083.1619968804885,0.0,0.6154195321816104,2.2147639147123717,0.07013007952515263,0.5167774345794626,0.4207886134962046,326.84232365145226,148.23364625278998,57.41773073369734,0.38734614026683334,0.2372633501392452,0.38553106902240597,1.7930218075448825
Track_7,7,7,20,0,0,0,0,0,19.0,0.0,19.0,11.189699722193193,924.4946056150654,492.2130415115124,0.0,2.485001332565564,10.627235627415436,0.11274550833778929,1.5010008447558825,2.786427108804988,357.7,47.21502531874572,13.36111985034642,0.23699446620333722,0.5889315643259575,0.23699446620333722,1.4765642255410627
Track_8,8,8,41,0,0,0,0,0,40.0,0.0,40.0,51.553998170483915,556.5425154583676,1198.434125022845,0.0,1.394441346246673,2.6869322735184813,0.2735167431665278,1.4384288598176433,0.6341593163768549,325.5365853658537,55.77765384986691,51.66506362554358,0.9242769211707696,1.288849954262098,0.9242769211707695,0.5167403734526657
Track_9,9,9,155,1,0,0,0,1,155.0,0.0,155.0,35.58398622355034,553.6044905568087,726.556482391603,0.0,1.0458008322453662,4.2503103315861575,0.061238092484474656,0.8411266751677159,0.7566108406340952,329.68387096774194,162.30350194000232,40.820815910585075,0.2192434901170798,0.22957410466806671,0.21951991009145033,1.4552055674432691
