LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2769,2769,0,328.0,210.9972095383054,579.1478944698123,0.0,4.0,4,10.225693013746072,1,,2157.340425531915,1825.0,850.0,4095.0,709765.0,967.8875222402423,0.6671634755586191,1.783930215694894,0.10635473756799647,-0.7724746159694416,16.0762859839411,7.689750960769076,0.8996760487423663,2.090612045300003,328.49999999999994,89.73121588155064,0.5126938792995676,0.8622047244094486,4.950805510334776
ID2801,2801,0,369.0,226.94816800714926,600.0424486148347,0.0,8.0,8,10.896310731002211,1,,2169.733870967742,1718.0,927.0,4095.0,807141.0,1044.6038889356973,0.7883877934540882,1.8313148646365196,0.07464736637201498,-0.19325709716718664,13.772729143927567,8.37065760961231,0.949470121260584,1.6453580813187096,373.0,92.91420213822636,0.5429433171786441,0.8766157461809637,4.8109150247421795
ID2804,2804,0,224.0,254.12490842490843,571.6457875457876,0.0,19.0,19,8.509729672957443,1,,2242.0176211453745,1873.0,1017.0,4095.0,508938.0,998.0936695217782,0.720852672164377,1.8819173162110847,1.1594361811662424,-1.98513109516376,12.75932332159067,7.3557057774493035,2.324476679197306,1.7346157809502747,227.5,82.01295785998131,0.42503658578401476,0.7210776545166403,5.437406159632063
ID2773,2773,0,425.0,231.31619937694703,611.0891744548286,0.0,10.0,10,11.67204486311899,1,,2119.1241217798597,1688.0,979.0,4095.0,904866.0,1004.8441338754527,0.8101872325750704,1.8877722023685821,-0.15235747333517768,0.15657272190123045,13.291545838130308,10.530999123362726,1.4157091692550723,1.2621353095209538,427.9999999999999,82.59821696164157,0.7883376861507316,0.9574944071588364,3.9925355133464677
ID2806,2806,0,385.0,204.4060606060606,574.7190476190476,0.0,2.0,2,11.070199012698886,1,,2059.0725388601036,1696.0,930.0,4095.0,794802.0,899.802177348338,0.7430358968435881,1.9510035820657488,-0.15439396803806563,0.0440494421509151,14.765137403448263,8.283827178366558,0.7380868624826536,1.7824052923276605,384.99999999999994,82.17567396268959,0.716446960062925,0.9541511771995044,4.188060143957876
ID2775,2775,0,387.0,203.46127067014797,574.2175805047868,0.0,0.0,0,11.041407809169618,1,,2144.308093994778,1749.0,1028.0,4095.0,821270.0,993.8145581715886,0.7732510859338336,1.8817508909260396,-0.0666168288529348,-0.04971837778781383,12.421407627485433,9.846537011249175,0.6320145702005039,1.2615001206306944,383.0,90.584081955404,0.5865497628391505,0.9022379269729093,4.628630366503847
ID2778,2778,0,338.0,239.17466266866566,585.5684657671164,0.0,16.0,16,10.303220226817158,1,,2221.997014925373,1735.0,964.0,4095.0,744369.0,1092.7972635729361,0.7394172062866551,1.7287001059383438,-0.2434402753692386,0.389657133585314,13.23958849622401,8.499903453954241,2.7537738717732863,1.5576163385790953,333.50000000000006,91.49383477344506,0.5006359600588498,0.8893333333333336,5.010071356493119
ID2780,2780,0,295.0,242.44547498594716,581.1672287802137,0.0,17.0,17,9.714879374109282,1,,2231.5286195286194,1823.0,566.0,4095.0,662764.0,1094.1285345071442,0.7614762393865364,1.7633709398634194,0.056881393632001134,-0.05611940396347293,12.16212088738975,8.416396792198583,-0.09508854062399111,1.4450507964005683,296.5,79.99075823125781,0.582310920418775,0.8606676342525399,4.645446519329572
ID2785,2785,1,294.0,734.88766270515,973.8084323712507,0.0,14.0,14,9.682058741875426,1,,1716.96644295302,1552.0,931.0,3188.0,511656.0,539.6708301647767,0.63091887062359,2.4615236783186485,-0.11028379545371422,-0.2357527462928436,11.212144538653222,9.172980378950017,-0.5025414106498984,1.2223011579074823,294.5,71.278878499019,0.7284058873837237,0.9217527386541471,4.1535381935023254
ID2789,2789,1,293.0,743.7850653038046,967.7907438955139,0.0,15.0,15,9.665606633571562,1,,1689.1457627118643,1621.0,955.0,3252.0,498298.0,408.1064900885459,0.615936256154622,3.1552601039714965,0.021917251393354317,0.130814172224296,11.803876266370839,8.242023936645088,2.275027584966861,1.4321574842666134,293.5,68.11971263087051,0.7948265309581081,0.9513776337115073,3.9762048837282764
ID2791,2791,1,303.0,730.7118644067797,970.5022598870057,0.0,13.0,13,9.690274321412074,1,,1977.5844594594594,1893.0,993.0,3591.0,585365.0,616.359035497192,0.6969814980076525,2.635575195673409,-0.4612113958110646,-1.1421026888390253,12.238635470918748,9.232563106094283,0.6456001051533586,1.3255945646166447,295.0,72.05586536680673,0.7139917661257308,0.9262166405023547,4.195254677531964
ID2760,2760,1,335.0,748.056387225549,957.7704590818363,0.0,3.0,3,10.31094088749354,1,,2107.6366366366365,1821.0,970.0,4095.0,701843.0,905.201357205925,0.7614552421906561,2.01304418243213,0.02010355648878481,-0.18143984913523525,10.825161423717903,10.494586483456082,2.0177217378668986,1.031499567970872,334.0,71.46478644841461,0.8218113410514017,0.9570200573065902,3.9103791346108263
ID2794,2794,1,331.0,744.0664160401003,960.6588972431077,0.0,5.0,5,10.287761523096771,1,,2102.9006024096384,1804.0,870.0,4095.0,698163.0,932.8364821751869,0.7751316273041728,1.9687388625976077,0.1353933618978125,0.11065528671192257,10.80143057761402,9.46193368779153,1.2374029252186203,1.1415669284969525,332.5,79.16418617956818,0.666720809851268,0.9134615384615384,4.341431236744219
ID2762,2762,1,263.0,725.693813131313,967.8226010101009,0.0,12.0,12,9.166995688475081,1,,2010.3094339622642,1835.0,859.0,4052.0,532732.0,722.2441893428089,0.6966872018496735,2.28583510689109,0.35579716503704284,0.3562626342606544,10.229438922389239,9.16987872327906,0.27804466561580377,1.115547896660872,264.0,65.0718815591411,0.783478461314611,0.9312169312169312,4.004897460972613
ID2795,2795,1,285.0,720.7111692844677,950.4610238510761,0.0,9.0,9,9.549648286280288,1,,2306.6180555555557,2038.0,943.0,4095.0,664306.0,989.9001603584782,0.7384276659510594,1.9795461132115841,0.08698957182277386,0.04088471216812538,10.956748262730681,8.637884758956938,1.7702531391725236,1.2684527020772336,286.5,66.32062187433513,0.8185351062009258,0.9534109816971714,3.9181970805842026
ID2764,2764,1,262.0,719.2373153500322,962.3876043673732,0.0,11.0,11,9.088532085254124,1,,1706.7777777777778,1606.0,903.0,3226.0,445469.0,484.8962264519599,0.6113233246103407,2.670831216337015,-0.4482679129545873,0.09688444835002952,13.479038354276218,6.743457546038941,0.21033451552655227,1.9988319437398563,259.5,78.35338112717126,0.5311678030132039,0.8398058252427184,4.863949541358893
ID2797,2797,1,374.0,737.4902091677792,952.3482421005785,0.0,1.0,1,10.9181982202115,1,,1908.572192513369,1696.0,876.0,3592.0,713806.0,720.5065717780379,0.7613394803165121,2.2900023217922794,-0.17512964426234448,-0.21353084920342513,11.35859091308298,10.701993370985965,0.6168710242218228,1.0613528264628818,374.5,81.45424380953479,0.7093070127586254,0.9421383647798742,4.209086056710977
ID2766,2766,1,277.0,737.4,961.8595238095239,0.0,7.0,7,9.440697438826296,1,,2001.936170212766,1879.0,919.0,4095.0,564546.0,712.027906534218,0.6726659043043974,2.261379325477262,0.1018829684970592,0.04446681515691573,12.852358357934415,7.484176658730816,0.44314240687464057,1.7172708427374224,280.0,68.42887678685562,0.7514309390906748,0.9427609427609428,4.089407562013401
ID2800,2800,1,287.0,741.1317626527051,961.5779522978476,0.0,6.0,6,9.549648286280288,1,,2359.786713286713,2078.0,952.0,4095.0,674899.0,1012.1999247591818,0.7345935647322335,1.9746304741214862,-0.04694211329871349,0.05189147576091161,10.581808347287133,8.845478523032174,0.6814067654127539,1.1962957481309622,286.5,66.8041133181984,0.8067297674808388,0.9408866995073891,3.9467615709386816
ID2768,2768,1,230.0,760.8326164874552,967.1193548387097,0.0,18.0,18,8.602734945221277,1,,1918.3103448275863,1804.0,872.0,3589.0,445048.0,646.5453572179918,0.6474418240558303,2.3320643535029726,0.10647927224911956,0.2650634751934963,10.279591070686289,7.663212446483184,1.6344483094658737,1.341420604279843,232.5,64.47197415537835,0.7028956957940456,0.9189723320158103,4.228238633509242
ID2802,2802,1,298.0,727.9489565707839,957.1057529610829,0.0,8.0,8,9.69848294153834,1,,1927.8440677966103,1724.0,966.0,4095.0,568714.0,669.6059731483239,0.680475916668517,2.331648317725623,0.047910853773419144,0.07762920540451441,10.688286645592166,9.49296426277918,-0.7447451324987083,1.1259166630911808,295.5,69.6060164578051,0.7664322831444695,0.936608557844691,4.04918889629127
ID2772,2772,1,398.0,745.8501683501684,962.6321548821549,0.0,4.0,4,11.227230955528665,1,,1968.9746192893401,1657.0,993.0,4095.0,775776.0,843.0097716996834,0.7904735833758961,2.0623242477173447,0.016007101112391016,-0.07143835458896845,12.33580439614245,10.358952140153983,1.017129488211508,1.1908351568037152,396.0,77.0038249911163,0.8392289432192582,0.96,3.8695878017837124
ID2805,2805,1,261.0,763.3772264631043,966.3994910941475,0.0,19.0,19,9.13220620552083,1,,1781.381679389313,1761.0,917.0,2889.0,466722.0,443.3104731469431,0.6453019486148676,3.1520736036178136,-0.021753047121494187,0.02212475033993096,11.427585946116258,7.454239083125851,-0.9825888754060372,1.5330318519008688,262.0,66.31269880228275,0.7487170943747768,0.9257950530035336,4.096812213741943
ID2774,2774,1,281.0,713.8929636255218,949.3640429338104,0.0,10.0,10,9.432264478287783,1,,2218.6666666666665,1982.0,934.0,4095.0,619008.0,872.4346072256028,0.7003634877304644,2.094936655375724,0.2507700460049781,-0.18138859142335775,10.696703585413891,8.69593397297253,2.9559144399032338,1.23008104921908,279.5,67.22854681511785,0.7771130974218149,0.9426644182124789,4.021266146369494
ID2807,2807,1,364.0,742.0628715134889,955.192272519433,0.0,2.0,2,10.771441570838682,1,,2049.1561643835616,1714.0,947.0,4095.0,747942.0,905.7038124438678,0.7759084925809895,1.9770095991333847,0.01375784059437883,0.07744071638084116,11.406829006303367,10.392805246044652,0.5024275919429455,1.0975697837352083,364.5,77.40822575284544,0.7644219870464112,0.9566929133858267,4.054509729589344
ID2776,2776,1,358.0,733.4730496453901,949.6446808510639,0.0,0.0,0,10.592650040466088,1,,2036.965909090909,1911.0,811.0,4095.0,717012.0,726.0831060541052,0.7822446894584437,2.462650145004051,0.6488690008512669,-0.05230536711528824,11.541664579997658,10.295197437332204,-1.300013002136579,1.1210726797861637,352.5,85.96004646363942,0.5994813852956067,0.850422195416164,4.57843529530336
ID2810,2810,1,295.0,762.3695896571107,966.181843732434,0.0,20.0,20,9.714879374109282,1,,2042.861952861953,1829.0,949.0,4095.0,606730.0,801.1877106961252,0.7144957799755934,2.12519107888472,0.01985629493701277,-0.33692133178098665,11.026928109245054,9.728455477912918,1.3094940542939373,1.1334716116325076,296.5,71.85593455100718,0.72162118982219,0.9222395023328149,4.173018339044952
ID2812,2812,1,261.0,759.2440361057382,967.9990328820116,0.0,21.0,21,9.0710035596129,1,,1890.7297297297298,1698.0,1016.0,3702.0,489699.0,658.92284982363,0.6606352561102228,2.283033970578728,0.08716928849758473,-0.1957346923848493,10.629521521006058,8.528134087959486,0.787629749502045,1.2464064719635954,258.5,72.25819578581473,0.6221515457935215,0.8489326765188834,4.494245991680636
ID2781,2781,1,218.0,749.0245775729647,971.2926267281106,0.0,17.0,17,8.311031542587394,1,,1673.0319634703196,1577.0,855.0,2775.0,366394.0,453.7256009880847,0.5754072532736918,2.6935400710030066,-0.06558955631601077,0.019376704616217252,12.141294704553287,6.466970405369087,-1.2752181171119576,1.877431616893313,217.0,63.25922866040483,0.681430885146733,0.9175475687103594,4.294316257925669
ID2782,2782,1,253.0,745.9417344173442,967.0054200542006,0.0,16.0,16,8.848967849484623,1,,1780.5983935742972,1678.0,973.0,3018.0,443369.0,491.84934849027934,0.6108602600054137,2.745667085656526,-0.1806675454812088,0.10233804918593624,10.009655147493685,8.251016941541375,-1.2489072432371193,1.2131419943035262,246.0,58.93177267343781,0.8901146753068894,0.9761904761904762,3.757352591612634
ID2814,2814,1,6.0,764.1410256410256,962.2179487179487,0.0,22.0,22,1.438406847937898,1,,1122.142857142857,1112.0,1098.0,1185.0,7855.0,28.61484796062219,0.12171219978044143,8.510192242781434,-0.04643104643104083,-0.06930006930008076,1.9652292175776322,1.4619805569566455,0.6245228861991277,1.3442239079215814,6.5,9.886349517372675,0.8357017280308787,1.0,3.8777453159447606
ID2819,2819,2,273.0,285.8776563448695,529.9280510018215,0.0,23.0,23,9.347516448632254,1,,1929.1758241758241,1598.0,989.0,4095.0,526665.0,845.0768664143369,0.7438016535882532,1.9474470022059998,0.6490464349568843,-0.7771902825988425,12.43433622724884,7.41334506972899,1.9617886717080035,1.6772909004360432,274.5,100.00996177069122,0.3448781579991682,0.75,6.036317667062192
ID2808,2808,2,3.0,270.27777777777777,549.3888888888889,0.0,20.0,20,0.9772050238058398,1,,1101.3333333333333,1101.0,1095.0,1108.0,3304.0,6.506407098647712,0.03949889883591222,12.863776955236196,0.7222222222222268,-2.888888888888907,4.618205515714206,1.0826716097814755,-1.311223269671635,4.265564437074633,3.0,7.23606797749979,0.7199889689185959,1.0,4.1777457946839345
ID2811,2811,2,256.0,279.663708086785,551.7603550295858,0.0,21.0,21,8.982847886254723,1,,2114.4055118110236,1763.0,875.0,4095.0,537059.0,948.5192854708922,0.7165080585056279,1.8610041646332474,0.10286600155244466,-0.5682345093133744,12.548361676460406,7.064500170447277,2.7510736082628644,1.7762561219764152,253.5,83.68250532127792,0.45490266392685424,0.7635542168674698,5.255883036791512
ID2813,2813,2,215.0,281.97926267281105,542.5960061443932,0.0,22.0,22,8.311031542587394,1,,2312.375,1998.0,888.0,4095.0,499473.0,996.198641406188,0.7281971966434921,1.9561313903077042,-0.21561883937381054,-0.11796707429630261,10.886108571145929,6.99919938827993,2.792608667876854,1.555336255940155,217.0,74.33182631466232,0.4935373115071628,0.821969696969697,5.045973164452409
ID2880,2880,3,378.0,849.395476504172,1025.9791392182697,0.0,50.0,50,10.990841724215146,1,,1832.0661375661375,1694.0,1029.0,4032.0,692521.0,592.7600892989327,0.8187418855873634,2.7827111526960797,0.16665787850991903,0.4054558033851096,10.944988045288124,10.052227402991806,1.526322711108208,1.088812221063623,379.5,107.32840904582376,0.41399229728048237,0.8929411764705882,5.5094570481343785
ID2818,2818,3,317.0,769.957157784744,982.8270637408568,0.0,24.0,24,10.076748170547344,1,,1861.1006289308177,1752.0,950.0,3779.0,591830.0,599.205048507881,0.6791557088032175,2.5124809239837655,0.30039986800798374,0.11633839326769362,13.749590612100286,7.875843351463104,3.0416438928492644,1.7457927993890343,319.0,76.87986226374782,0.6782274356933843,0.9179856115107914,4.304445912479
ID2884,2884,3,390.0,853.2472150814053,1033.1666666666665,0.0,52.0,52,11.127557940783529,1,,1648.5629820051413,1473.0,824.0,3522.0,641291.0,597.2879550991705,0.7426786004469704,2.352531214533266,-0.05462606148935008,0.11157012885173354,11.76225600224998,10.854430591263469,-1.1773699364254535,1.0836363919188172,389.0,75.3535788403898,0.8608979989015095,0.9511002444987775,3.820578108065911
ID2821,2821,3,274.0,764.4441408621736,975.5886460230722,0.0,23.0,23,9.347516448632254,1,,2109.7345454545452,1826.0,944.0,4095.0,580177.0,875.0725884840209,0.7106868688435396,2.0031870291735796,0.13970828030513913,0.14960369757918973,10.660965544882494,8.521201063327629,-0.03609417207359364,1.2511106668710927,274.5,65.62561007005337,0.8009501837421285,0.9432989690721649,3.9609757114584654
ID2886,2886,3,370.0,856.3301886792453,1030.2524707996406,0.0,51.0,51,10.86705883733894,1,,1841.266129032258,1604.0,774.0,3604.0,684951.0,689.7625019079713,0.8676619153765925,2.480271662151084,0.19709366378760385,0.6205777467314858,10.51710869215947,9.385590338329411,-1.4619540380384148,1.1205591031614814,371.0,115.92047567247971,0.3469472619839975,0.8719153936545241,6.018291229784965
ID2823,2823,3,274.0,786.5563725490197,1007.2457107843137,0.0,28.0,28,9.304852983362556,1,,2201.2435424354244,2065.0,899.0,4095.0,596537.0,807.6222437597622,0.7211256938216332,2.283958458326254,-0.06543696471501557,0.11715578728604617,10.18899800392585,9.011834805025318,2.826468012515472,1.1306241430706323,272.0,63.52945168216931,0.8468930211791851,0.9493891797556719,3.852038817987612
ID2825,2825,3,233.0,793.4942528735631,1011.9683908045977,0.0,29.0,29,8.593479713983122,1,,1929.6508620689656,1838.0,1017.0,3281.0,447679.0,591.0530433775243,0.6457809626104734,2.5620964768008583,0.18305851433033532,0.1983669613187052,9.056684388918553,8.948300279885773,2.622603911585446,1.012112256589825,232.0,57.48907239640314,0.8821191421553075,0.9809725158562368,3.774342512393019
ID2827,2827,3,282.0,795.7873969375737,1017.6472320376914,0.0,31.0,31,9.491137855389772,1,,2175.8409893992934,1799.0,974.0,4095.0,615763.0,965.0092709739541,0.7135165758824366,1.877765781631959,-0.15513931231633174,-0.12376140708958619,12.519459216814449,7.994321654254958,1.4015280564951837,1.5660439694906443,283.0,70.3868489822326,0.7178161951235834,0.9293924466338259,4.184063873013232
ID2830,2830,3,301.0,799.0267558528428,1024.216276477146,0.0,32.0,32,9.755749892701914,1,,2217.926421404682,2047.0,1055.0,4095.0,663160.0,881.431878049489,0.725517552684518,2.1160061198916673,0.08309830999088647,0.15524611369893215,12.542498249966117,8.140969677158523,1.4334843368660328,1.5406639193310296,299.0,71.55513838388065,0.7338366542228807,0.9256965944272446,4.138140498630884
ID2833,2833,3,287.0,774.0909090909091,987.8630536130536,0.0,25.0,25,9.541311620975605,1,,1978.4825174825176,1857.0,984.0,3627.0,565846.0,638.6231335543936,0.6913635285513886,2.5327193610372856,0.0035944899483175375,0.18513874263193614,10.342640753539152,9.503342071985516,1.4642694215166572,1.0883161602724758,286.0,68.57966759051632,0.7641614866487041,0.9240710823909531,4.055200755908304
ID2835,2835,3,375.0,802.2991967871486,1026.536590807675,0.0,35.0,35,10.903611442528838,1,,2160.989218328841,1887.0,797.0,4095.0,801727.0,865.6008598263348,0.8066325445595176,2.229311864860754,0.1986802631915573,-0.23570146505464906,12.035919193796305,10.029608375703406,1.4809231110931311,1.2000387994164519,373.5,82.73640612568728,0.6856573971113475,0.9256505576208178,4.2810603406336565
ID2838,2838,3,274.0,781.5691131498471,991.9764525993883,0.0,26.0,26,9.313401311287029,1,,1940.5311355311355,1701.0,986.0,3929.0,529765.0,750.0903523648587,0.6442589300666753,2.027343174094441,0.16431803251273194,0.16493004219609955,12.622350920046678,7.270070014200607,0.7009643633702658,1.736207614973649,272.5,73.33166440632303,0.6367856765328362,0.923728813559322,4.442304139963001
ID2840,2840,3,229.0,792.04157468727,1013.042310522443,0.0,30.0,30,8.491006372664467,1,,2020.8185840707965,1831.0,1048.0,3857.0,456705.0,699.8176955050409,0.6360544554067201,2.2452719314400382,-0.029846725914489024,0.06083582303279588,8.95099677907091,8.62709987431862,1.028000621575294,1.0375441236882483,226.5,61.84718226588129,0.7441118729235022,0.934020618556701,4.109470005643182
ID2843,2843,3,262.0,786.4061302681993,998.2394636015325,0.0,27.0,27,9.114761669619748,1,,2025.206106870229,1908.0,909.0,3935.0,530604.0,720.1745980038958,0.6938846738278291,2.3039066677382354,-0.12293590409651153,0.18018865481765117,11.289869641332473,7.792685405798016,3.083095231658853,1.4487778029551195,261.0,66.09298390100639,0.750826603963095,0.9456521739130435,4.091052998875942
ID2846,2846,3,331.0,804.8118118118117,1022.4024024024025,0.0,33.0,33,10.295493776366547,1,,2295.487951807229,2028.0,939.0,4095.0,762102.0,974.4039047761054,0.783629018709048,2.0700077824056,0.09522822001058401,-0.13630348265154524,12.228890971279919,8.931465636918427,-1.4999904918721212,1.3691919633807363,333.0,74.22765946650817,0.7594908817186237,0.9460227272727273,4.06765068211362
ID2847,2847,3,377.0,811.9165542060279,1032.8378317588845,0.0,38.0,38,10.8597335524908,1,,1891.997311827957,1549.0,926.0,4095.0,703823.0,835.8775091096435,0.7680511179900288,1.9665417875288915,0.13599002988689368,0.14141181347413823,11.789846679817181,9.920583417707439,1.0347972827185914,1.1884227150162618,370.5,81.95539313062655,0.6931751747133063,0.9403553299492385,4.25778209901435
