LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(pixel/frame),(pixel),(frame),(pixel),(pixel),(pixel),
ID192409 → ID192051,0,192409,192051,2.79727515140629,0.03525164752677388,1.6725056506350853,1.6725056506350853,1.5,682.0206556513579,1137.6126136191042,0.0,
ID192051 → ID191809,0,192051,191809,3.9759898995603935,0.40291863140978257,1.9939884401772228,1.9939884401772228,2.5,682.9267029020972,1139.1638525670921,0.0,
ID191809 → ID192341,0,191809,192341,2.194296573361054,0.5354378351903005,1.4813158249883966,1.4813158249883966,3.5,683.8350521051083,1140.5736904042985,0.0,
ID192576 → ID192409,0,192576,192409,0.8456894431198985,NaN,0.9196137467001558,0.9196137467001558,0.5,681.1274283350085,1136.6737643633726,0.0,
ID193084 → ID192745,1,193084,192745,1.1131675617310124,0.907529035543859,1.055067562638058,1.055067562638058,7.5,548.0654381823954,1189.6851860440506,0.0,
ID192061 → ID191834,1,192061,191834,1.3159553558009183,0.2372552245080952,1.147150973412357,1.147150973412357,2.5,544.5888618995341,1182.5847318039155,0.0,
ID192362 → ID192376,1,192362,192376,6.51704933926225,0.09273582232046731,2.552851217611839,2.552851217611839,4.5,546.2195865131432,1185.666147855581,0.0,
ID192839 → ID192775,1,192839,192775,1.5925700455015321,0.20838878994975008,1.261970699145401,1.261970699145401,9.5,549.2442681409502,1191.6941666642233,0.0,
ID192376 → ID192280,1,192376,192280,0.868681951661592,0.07758489273847578,0.9320310894286692,0.9320310894286692,5.5,546.9875469052415,1187.229080756014,0.0,
ID191834 → ID192362,1,191834,192362,2.7429418233693874,0.30525307033426763,1.656182907582791,1.656182907582791,3.5,545.1860480467203,1183.8353811545649,0.0,
ID192745 → ID192839,1,192745,192839,1.6824486118088053,0.8296430364025655,1.2970923682640358,1.2970923682640358,8.5,548.738874700029,1190.5262318398018,0.0,
