LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID36996,36996,0,1042.0,458.91766682669225,719.3330932949272,0.0,17.0,17,18.20768372035328,1,,411.1295585412668,365.0,188.0,924.0,428397.0,145.2329921446836,0.5114490248547799,1.9158092366627633,-0.02660177346745158,-0.1740066758582153,28.38763796616269,12.07898160857088,-0.8059122779758716,2.350168158714612,1041.4999999999998,179.67403167610723,0.4054137856872029,0.8845010615711251,5.567441672571103
ID37000,37000,0,1223.0,458.8022494887526,719.2835037491479,0.0,16.0,16,19.726475505261558,1,,421.31609195402297,375.0,199.0,1013.0,513163.0,155.85771196868362,0.5388751427055748,1.8931913549821124,1.2950709641809015,-1.3851017941429447,33.13063221824319,12.06423520731458,2.3353353727390176,2.7461858666478913,1222.5000000000002,238.4315490820408,0.2702285874282857,0.8128324468085107,6.819291988848334
ID37003,37003,0,1256.0,447.7438087670508,730.9423255197987,0.0,12.0,12,20.014819303763414,1,,405.79143536875495,353.0,211.0,1057.0,511703.0,156.0165033687599,0.5341250117281234,1.8111086164605388,-0.005580597179049199,0.03332457198848633,34.626534120471625,11.624523498810136,-0.8469787801350296,2.9787486879798495,1258.4999999999998,202.1134742665724,0.3871440142237334,0.9129488574537539,5.697294347014484
ID37005,37005,0,751.0,462.8567019400353,714.9925044091711,0.0,19.0,19,15.51264883747923,1,,423.56052631578945,374.0,182.0,872.0,321906.0,157.89527731340823,0.48962059957704146,1.7634386150764518,0.6782659084303476,-1.0903416727610393,25.213334975887875,9.593766051667682,2.339695803471252,2.6280956654665397,755.9999999999998,195.684991467879,0.24809420732163848,0.7858627858627856,7.116994331494788
ID37009,37009,0,806.0,419.31803143093464,761.9325889164598,0.0,6.0,6,16.01742077439858,1,,386.7462871287129,354.0,205.0,754.0,312491.0,113.61343942038114,0.4768869536472945,2.1983388177387293,0.19740890165123887,0.039585923024833145,23.003225669015507,11.928324548114416,-0.8015165902501631,1.9284540403163133,805.9999999999997,147.67560417201364,0.464437622479434,0.8680667743672588,5.2016513015092505
ID37013,37013,0,1235.0,431.2554744525547,750.109759394431,0.0,9.0,9,19.811009304541095,1,,411.8231017770598,389.0,172.0,946.0,509837.0,137.74123179194083,0.5268750393491521,2.0633878427022645,0.10657823529431375,0.1512528890192423,36.81931066095485,11.27554584606633,2.2318005944992207,3.265412704946777,1232.9999999999995,211.68651938148585,0.34576938405288854,0.8701482004234293,6.028533295632666
ID37015,37015,0,947.0,417.85771929824557,763.5405263157895,0.0,4.0,4,17.38949084575512,1,,377.66596417281346,350.0,216.0,754.0,358405.0,106.53986947428584,0.4941204420754157,2.344622326629033,0.24935174509592817,-0.15330490283965223,25.80345414872817,12.018884862025699,2.295111376048909,2.146909172102609,950.0,156.45383888445718,0.4877092826273488,0.8845437616387337,5.07603281704
