LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID133266,133266,0,4411.0,674.1225979724618,613.7264336510818,0.0,1.0,1,37.44961092622702,1,,2243.2247446083998,1842.0,346.0,4095.0,9881405.0,1231.5188594040424,0.9135420424444424,1.7392108898617824,3.7959383872517276,-2.4686617119871612,48.47507941622736,26.45778349702448,3.0668543051633907,1.8321670604674427,4406.0,484.36395132381034,0.23599930826934123,0.7335997335997336,7.297087719315808
ID132918,132918,0,4232.0,672.1501159727954,613.0618193969415,0.0,4.0,4,36.73519786902176,1,,2266.032790752536,1868.0,381.0,4095.0,9605713.0,1228.1926513673031,0.9320472099088444,1.7801224102650395,4.253348412189587,-2.430019882819987,47.970256641464246,25.419203483336,3.0492991901796125,1.88716600317205,4239.500000000001,532.608176490453,0.18780573274636062,0.7082950463620418,8.179947372535564
ID133031,133031,0,4224.0,671.9842387659289,612.5400441866888,0.0,6.0,6,36.670152906463656,1,,2274.806352216165,1884.0,400.0,4095.0,9597408.0,1223.6166963281128,0.9420550338405391,1.8036147380527836,4.647903502662003,-2.07682613353808,47.735583961920604,24.685836827512347,3.070079847491551,1.9337235474520893,4224.500000000004,560.9562702666674,0.16870469334163485,0.702677977378577,8.630607167565653
ID133204,133204,0,4223.0,671.2528565215672,613.3265132645396,0.0,7.0,7,36.631070489514364,1,,2253.3871120587537,1860.0,386.0,4095.0,9511547.0,1224.8685720636258,0.947983686386224,1.7905722864606781,5.32305438819975,-2.7959578569135117,48.086706628031166,24.87268959058952,3.0687902677276533,1.9333135024619361,4215.500000000001,555.6387882370533,0.1715828379222418,0.697295509056323,8.557915789771371
ID133064,133064,0,4421.0,674.6805240900167,613.1774656396315,0.0,2.0,2,37.483594246219944,1,,2259.1760308110556,1874.0,378.0,4095.0,9972003.0,1233.5765484513527,0.9143383313688979,1.7494526573253284,3.4628323089016644,-1.8740361394044838,47.954532297641386,26.092818526519814,3.074180599202401,1.837844089127516,4414.000000000003,517.05085474764,0.2074797289852688,0.7332225913621266,7.782463562509099
ID132904,132904,0,4353.0,672.4168678854777,612.6825150435016,0.0,3.0,3,37.20444247761567,1,,2273.8890165441176,1882.0,371.0,4095.0,9895965.0,1230.6492578374625,0.9207245281487159,1.7714528440303074,4.353368051558173,-1.3378287622334235,47.602394081889194,25.745385119963828,3.065471126100463,1.8489680329146334,4348.499999999999,547.8047136514678,0.18209491097256603,0.7234839031694533,8.307226037494612
ID133150,133150,0,4262.0,672.6885882352941,612.8761960784315,0.0,5.0,5,36.780660900548135,1,,2291.8848142924307,1899.0,429.0,4095.0,9749678.0,1221.50276150708,0.9412456524788859,1.8194947914726955,4.263745521960525,-1.197683687064315,47.41052702476047,25.355023431251592,-0.0689124442833819,1.8698672140181951,4250.0,568.7705798888544,0.16509143630066325,0.7075668026304838,8.724542429223353
