LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(pixel/frame),(pixel),(frame),(pixel),(pixel),(pixel),
ID260996 → ID261469,0,260996,261469,1.2185453155060662,1.9260293387203273,1.1038774005776484,1.1038774005776484,51.5,234.56240921271774,218.74824843157143,0.0,
ID264149 → ID264899,0,264149,264899,0.6315464387781118,0.4777360324211878,0.7946989611029524,0.7946989611029524,81.5,234.74689515034876,220.96583685069902,0.0,
ID256139 → ID257652,0,256139,257652,0.48574930113676457,1.2940781548360747,0.6969571731008761,0.6969571731008761,5.5,255.79669208920942,211.1790074834097,0.0,
ID264899 → ID264279,0,264899,264279,7.12341628246945E-4,0.547760838391872,0.026689728890472924,0.026689728890472924,82.5,234.53088082844107,221.312904635985,0.0,
ID256424 → ID257347,0,256424,257347,0.2531525382112239,1.0077978952774775,0.5031426618874849,0.5031426618874849,11.5,253.81990942814474,210.65924266512502,0.0,
ID257310 → ID257362,0,257310,257362,0.20233149277004264,1.4822502978810401,0.4498127307780902,0.4498127307780902,7.5,254.79769908971505,210.87303777362592,0.0,
ID259897 → ID260146,0,259897,260146,2.289823223763784,2.08944653176598,1.5132161854023978,1.5132161854023978,40.5,235.9967532710101,218.76991218604903,0.0,
ID258440 → ID258096,0,258440,258096,0.2618131613312323,3.039525860204943,0.5116768133609655,0.5116768133609655,27.5,238.91903431382582,217.9999032812724,0.0,
ID260146 → ID260411,0,260146,260411,0.13712210932012983,2.780389183635203,0.3703000260871309,0.3703000260871309,41.5,235.79250328771738,219.32029856415437,0.0,
ID258412 → ID258803,0,258412,258803,130.1659956177772,3.064291797529098,11.409031318117117,11.409031318117117,22.5,245.24624965570962,214.34773462313115,0.0,
ID261378 → ID261559,0,261378,261559,3.098990514175018,2.8033519024461615,1.7603949881134682,1.7603949881134682,55.5,235.1682458410238,217.93120126399356,0.0,
