LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_0,0,0,86,0,0,0,0,0,85.0,0.0,85.0,37.71462329795244,486.4263701402935,198.123097052678,0.0,0.8154535155470585,2.7518960074186665,0.07896515422645385,0.740383438858697,0.47891515673455903,231.90697674418604,69.31354882149999,37.71462329795244,0.5441161784267775,0.4437014505641464,0.5441161784267777,1.3424898316947522
Track_1,1,1,361,0,0,0,0,0,360.0,0.0,360.0,22.123622465799617,469.32757462019225,1330.9999612661143,0.0,0.524533766647155,3.301363226401837,0.014665360002661632,0.487965809277746,0.3202249474802305,263.1385041551247,188.83215599297571,24.433433060639768,0.11716024926719888,0.06145450684944338,0.11716024926719883,1.8823988261302103
Track_2,2,2,4,1,0,0,0,1,4.0,25.0,29.0,0.20684314805345178,676.0577710337009,527.0919015602205,0.0,0.3879322627382689,0.4507061391023193,0.33988668415233925,0.3732039649601482,0.0568588600433865,134.0,1.5370007531749548,0.4507061391023193,0.13457582738731885,0.051710787013362944,0.13329849558878093,2.1782771706494213
Track_3,3,3,2,0,0,0,0,0,1.0,19.0,20.0,0.8398003403156825,675.7634170396784,525.2938573198796,0.0,0.8398003403156825,0.8398003403156825,0.8398003403156825,0.8398003403156825,NaN,133.0,0.8398003403156825,0.8398003403156825,1.0,0.8398003403156825,1.0,NaN
Track_4,4,4,2,0,0,0,0,0,1.0,99.0,100.0,0.4178594487058176,501.65902135677027,199.96049923220178,0.0,0.4178594487058176,0.4178594487058176,0.4178594487058176,0.4178594487058176,NaN,124.5,0.4178594487058176,0.4178594487058176,1.0,0.4178594487058176,1.0,NaN
