LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(pixel/frame),(pixel),(frame),(pixel),(pixel),(pixel),
ID7340 → ID7312,0,7340,7312,1.5961305085674782,1.5242583415851094,1.2633805873795427,1.2633805873795427,15.5,533.7397176514265,1021.1519762914011,0.0,
ID7749 → ID7792,0,7749,7792,9.317441504786721,2.293153609954871,3.0524484442471294,3.0524484442471294,52.5,532.0811468600657,1026.97120015681,0.0,
ID7792 → ID7774,0,7792,7774,4.895542885001542,2.569655088597514,2.212587373416368,2.212587373416368,53.5,531.9864595961228,1027.8107222873489,0.0,
ID7266 → ID7218,0,7266,7218,1.7249029289663316,2.5069777051132363,1.3133555988255168,1.3133555988255168,10.5,533.5376857882432,1019.6906304385086,0.0,
ID7707 → ID7693,0,7707,7693,18.38326431776897,2.9801062870878767,4.287570911106774,4.287570911106774,46.5,532.2751526373559,1023.1988422881508,0.0,
ID7404 → ID7457,0,7404,7457,1.399023785585284,2.1807665544935433,1.1828033587986144,1.1828033587986144,23.5,526.782044872352,1019.2420322830326,0.0,
ID7693 → ID7735,0,7693,7735,1.9641514452840139,2.0732013372857416,1.401481874761145,1.401481874761145,47.5,530.3914061873711,1023.5014863798876,0.0,
ID7657 → ID7760,0,7657,7760,29.941595688657458,2.958893602381544,5.471891417842413,5.471891417842413,42.5,531.2437153424064,1023.1158735255594,0.0,
ID7930 → ID7963,0,7930,7963,114.65492233777766,0.2534267633446041,10.7077038779459,10.7077038779459,67.5,535.8036069864027,1019.6279029180272,0.0,
ID7546 → ID7617,0,7546,7617,5.061416513279133,1.3736698869158352,2.2497592122889802,2.2497592122889802,37.5,527.9739933407034,1021.518211999405,0.0,
ID7243 → ID7149,0,7243,7149,0.8846316323762248,2.487626735600936,0.9405485805508532,0.9405485805508532,5.5,540.1460988922518,1021.9803498723345,0.0,
