LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID7104,7104,0,487.0,569.5232478632478,569.8011965811966,0.0,19.0,19,12.456968712917199,1,,3065.004106776181,3048.0,1510.0,4095.0,1492657.0,803.2852964375817,0.8171261362035381,3.4315889895352765,0.07776992221357074,0.21612588948802586,13.05743551061991,12.493569339185877,0.8996468808099183,1.045132512264968,487.5,83.72374611176798,0.8739511938275412,0.9711155378486056,3.7919389973963114
ID6977,6977,0,502.0,573.3942436412316,578.2496653279785,0.0,8.0,8,12.590406002966217,1,,2900.1388329979877,2646.0,1445.0,4095.0,1441369.0,892.4602044761643,0.8235699083016467,2.9352018835050804,0.19786703070356723,-0.00242097033511138,13.31224902704411,12.271000211816004,0.34128689644910687,1.0848544370674418,498.0,81.4412009723124,0.9435194734318111,0.9880952380952381,3.649467479394465
ID7010,7010,0,524.0,574.8820905035054,578.9735500318675,0.0,7.0,7,12.902560616952067,1,,2781.8253358925144,2493.0,1253.0,4095.0,1449331.0,1009.0833798605038,0.8249344597396575,2.4923267250180796,-0.02093642550677211,6.152476239490505E-4,13.198962918477303,12.712873948763765,0.8786104854157473,1.0382359623538002,523.0,86.41686172750764,0.8800646394648607,0.966728280961183,3.778745527882971
ID7043,7043,0,512.0,573.2044270833334,581.4918619791666,0.0,15.0,15,12.766152972845846,1,,2776.409708737864,2478.0,1285.0,4095.0,1429851.0,994.7248319737708,0.8142661152278241,2.5053935989533502,-0.06546235247570022,0.09683733424270642,13.401627171617452,12.48235905807805,1.043166390461719,1.073645382997094,512.0,85.75735741901609,0.8748569477012317,0.9660377358490566,3.789975560476547
ID7077,7077,0,511.0,582.6991552956465,567.3479532163743,0.0,22.0,22,12.778613837669742,1,,2824.9748062015506,2556.0,1343.0,4095.0,1457687.0,908.8299836437318,0.8276188231956088,2.815183220934358,0.10278663481377691,0.04358216563314157,13.033054977094169,12.819566097278916,-0.1312706861011593,1.016653362383347,513.0,86.92089412059619,0.8532550335500738,0.9544186046511628,3.8376512255918125
ID7015,7015,0,527.0,575.3066666666666,576.8819047619047,0.0,6.0,6,12.927207364566026,1,,2759.351711026616,2465.0,1093.0,4095.0,1451419.0,994.8712632041617,0.8174493641285304,2.4949894267142656,-0.03589231222962489,-0.03485835395233043,13.204956929636573,12.982120118268293,0.9866828294352059,1.0171649013672819,525.0,87.21020180314979,0.8674302924680589,0.9686346863468634,3.806165248907697
ID6984,6984,0,504.0,570.8754524514643,582.0011516946364,0.0,11.0,11,12.697399629533992,1,,2896.279207920792,2679.0,1414.0,4095.0,1462621.0,882.2363782156044,0.8266009970156935,2.971239739818967,0.14352053203229181,0.05530663645606752,13.275027481247125,12.380483694894338,0.10257544790060025,1.0722543487312772,506.5,85.35246244177544,0.8736896750924193,0.9638439581351094,3.7925064694185835
