LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID4938,4938,0,592.0,522.8076923076923,872.7840236686391,0.0,0.0,0,13.721526798345446,1,,863.4169491525424,811.0,391.0,1532.0,509416.0,290.584036424873,0.6826149567514683,2.410848213168192,0.0018029391340218131,-0.04818187061893832,13.866869831156897,13.506962479767042,0.10673892810019162,1.0266460613871538,591.5000000000001,115.8559426233507,0.5537681617473131,0.9213395638629284,4.763662016684814
ID4933,4933,0,598.0,522.6505286588759,873.0514746800222,0.0,1.0,1,13.808244704671576,1,,845.893864013267,791.0,408.0,1538.0,510074.0,279.85553703081433,0.6848915148161705,2.457320529258354,0.09365922659287729,-0.23314041580399808,14.3049974624891,13.107683237529061,-0.7642590665868667,1.0913444583045742,599.0000000000001,124.19082557815663,0.48804251686748334,0.9301242236024847,5.074299569711945
ID4947,4947,0,652.0,522.0732516590097,872.8090862685044,0.0,2.0,2,14.417224270920368,1,,886.8558282208589,819.0,423.0,1712.0,578230.0,311.4947128621848,0.7111833472817033,2.3665592071842867,0.0954293873777531,0.05568884256957567,15.461657176146325,13.87293347120778,-0.9654104240971513,1.1145196658108265,653.0,101.32014035832516,0.7993398778608858,0.9588839941262849,3.964963485312729
ID4934,4934,0,651.0,522.7130268199234,872.5799489144316,0.0,3.0,3,14.411703602798779,1,,904.0184615384616,838.0,384.0,1685.0,587612.0,326.839084296575,0.7147074809020579,2.305746698682238,-0.10062886058988291,0.033919394665950675,15.24561829985542,13.935855459209973,-0.8305814171710009,1.0939851051468712,652.4999999999997,101.49676902023326,0.7959502897439288,0.960264900662251,3.9733969989396365
ID4935,4935,0,621.0,522.0986504723347,872.9960863697706,0.0,4.0,4,14.019855731015593,1,,870.9032258064516,825.0,413.0,1607.0,539960.0,294.75479854589196,0.6958546442178307,2.424760875035934,-0.050564617706834875,0.05209886495121153,14.552270979492294,13.667817496808436,-0.5502099522790714,1.064710659393161,617.5000000000001,98.03954533670374,0.8073172810964334,0.9610894941634245,3.945325209899247
ID4941,4941,0,658.0,522.6855226524931,872.8166287015945,0.0,5.0,5,14.477812681894532,1,,915.951367781155,852.0,393.0,1706.0,602696.0,323.85496792432855,0.7214215790537494,2.370575183214682,0.03268753184247361,0.032327243075451165,15.316496908182176,13.965407078950028,-0.8635466804748325,1.0967454669666334,658.5,97.99724986318128,0.8616638382917695,0.9606126914660832,3.818879882199075
ID4932,4932,0,640.0,521.7992662473795,873.2882599580713,0.0,6.0,6,14.228319915326995,1,,926.2220472440945,870.0,367.0,1673.0,588151.0,316.15443579586963,0.7204993476794069,2.4537194769953667,-0.029445139036661218,0.12071739704147744,14.935251933425713,13.91497428555637,-1.1382227808882797,1.0733222805110307,635.9999999999998,96.40812029410868,0.8598837642994908,0.9739663093415006,3.8228306337674245
