LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2109,2109,0,452.0,480.77948717948715,724.6945054945055,0.0,0.0,0,12.034575115625177,1,,964.4373626373626,865.0,386.0,2431.0,438819.0,397.3619893539608,0.7093902672592054,2.0144741553586623,0.016747627611727676,0.011144289731974146,12.945671851790385,11.35632746209448,0.6576460298399212,1.1399523212940865,455.0,82.06211324036265,0.849055085301462,0.9650053022269353,3.8471312073175654
ID2129,2129,0,447.0,481.9472902746845,721.1718634001485,0.0,1.0,1,11.954962939989485,1,,962.9710467706013,834.0,455.0,2281.0,432374.0,391.4026819372811,0.7029448196682786,2.031141066640447,0.012898777462901275,0.010857011576083552,12.22072603721516,12.047305311006795,2.668767361718137,1.0143949805978538,449.0,84.26865666861904,0.7945551799461977,0.9563365282215123,3.97688378882075
ID2147,2147,0,428.0,482.0546415981199,718.8564433999217,0.0,2.0,2,11.63790602175507,1,,943.3082352941176,882.0,431.0,1804.0,400906.0,314.025877062765,0.6899365232369017,2.4527705784914127,-0.018267063524292887,-0.026462782063539192,12.091927709268665,11.47323247710254,0.7661090086381858,1.053925102049564,425.49999999999994,78.41150123301631,0.8696607925236024,0.9648526077097505,3.801281101884885
ID2159,2159,0,389.0,482.50214776632305,713.860824742268,0.0,3.0,3,11.11324596323283,1,,822.5578406169666,776.0,444.0,1484.0,319975.0,209.97555054399282,0.623948621350361,3.0102617345648937,-0.036656440995907556,0.007424531795160844,11.330173965465946,10.97784620890372,2.7757295666004334,1.0320944336309308,387.99999999999994,76.21243816109158,0.8394404222888678,0.9533169533169533,3.8691003411173717
ID2128,2128,0,420.0,481.48116987179486,715.7035256410256,0.0,4.0,4,11.507254783503184,1,,902.0889423076923,838.0,417.0,1617.0,375269.0,276.45456590543586,0.6738040984077813,2.6271484223054795,-0.06799041300757189,0.16789682929799168,11.968757710187402,11.402080411089532,1.2637432332925784,1.0496994652437923,416.0,77.229260999644,0.8764748048705926,0.9607390300230949,3.786476046707067
ID2168,2168,0,387.0,481.0842985842986,714.5227370227369,0.0,5.0,5,11.120404254450586,1,,915.6614987080103,839.0,456.0,1772.0,354361.0,291.85108105643576,0.6639021566184464,2.5036864426986454,-0.020803872995359757,0.050466484969907896,11.380534460555204,11.049141610797584,0.5515026239061652,1.0299926330416267,388.5,76.46147802284868,0.8350558244634462,0.9568965517241379,3.8792447159366534
ID2165,2165,0,362.0,482.05970493314896,715.0924389119409,0.0,6.0,6,10.72702306585757,1,,829.8444444444444,778.0,444.0,1519.0,298744.0,233.55421008800027,0.6144460288815126,2.704576043575162,-0.07428489773822751,0.18148071595102533,10.892588211254894,10.610396630780091,0.7567811574568527,1.0265957617132033,361.5,77.71344057425245,0.7521871194061513,0.9377431906614786,4.087351486471853
