LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(pixel/frame),(pixel),(frame),(pixel),(pixel),(pixel),
ID7030 → ID7032,0,7030,7032,2.4700807414554236,0.3398853603531928,1.571649051619166,1.571649051619166,14.5,532.5685273551678,820.1579241935983,0.0,
ID7022 → ID7030,0,7022,7030,1.4718075121231695,0.630527274727674,1.2131807417376725,1.2131807417376725,13.5,533.9010657411574,819.8283449808637,0.0,
ID7018 → ID7022,0,7018,7022,0.5035437963279552,1.5791713088437234,0.7096081991690593,0.7096081991690593,12.5,534.8036477850651,819.9922299808966,0.0,
ID7006 → ID7013,0,7006,7013,9.536655599361898,0.6869229893087035,3.0881475999961365,3.0881475999961365,1.5,550.475087290029,790.3799307936306,0.0,
ID7007 → ID7006,0,7007,7006,3.40639788354661,NaN,1.8456429458447834,1.8456429458447834,0.5,550.9661931936954,788.1000067937623,0.0,
ID7013 → ID7026,0,7013,7026,13.063534960042103,0.2962714192630649,3.6143512502304067,3.6143512502304067,2.5,550.0836152827239,793.6715072259657,0.0,
ID7015 → ID7023,0,7015,7023,22.881555425434954,0.3251319303446352,4.783466883488894,4.783466883488894,4.5,548.0986529953375,801.2132289488588,0.0,
ID7026 → ID7015,0,7026,7015,13.5134225243115,0.1245258985241779,3.676060734578728,3.676060734578728,3.5,549.3893567995333,797.2427942041741,0.0,
ID7023 → ID7004,0,7023,7004,29.183039511606676,0.06127876426004672,5.402132866896803,5.402132866896803,5.5,545.7123944327041,805.7096863880438,0.0,
ID7019 → ID7012,0,7019,7012,1.4306934194769714,0.692927054223396,1.1961159724194688,1.1961159724194688,10.5,536.6395936928897,818.4164329125759,0.0,
ID7012 → ID7018,0,7012,7018,3.3386513102118287,0.5977342349124319,1.8271976658839701,1.8271976658839701,11.5,535.594735598551,819.4183838047675,0.0,
ID7028 → ID7003,0,7028,7003,7.283861986478703,0.5685666682846178,2.698863091466239,2.698863091466239,8.5,538.993462939555,816.3276262647464,0.0,
