LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(pixel/frame),(pixel),(frame),(pixel),(pixel),(pixel),
ID2211 → ID2216,0,2211,2216,6.9126613787938025,0.9048590885114906,2.629194054989818,2.629194054989818,22.5,485.8634554704732,727.9123410040846,0.0,
ID2109 → ID2129,0,2109,2129,13.772771394088606,NaN,3.7111684674895327,3.7111684674895327,0.5,481.36338872708586,722.933184447327,0.0,
ID2370 → ID2392,0,2370,2392,5.974376113323067,2.6885930792533035,2.4442536925047422,2.4442536925047422,51.5,487.8309316402907,727.7313412072266,0.0,
ID2301 → ID2318,0,2301,2318,0.7222619371536988,2.994970772057566,0.8498599514941851,0.8498599514941851,39.5,480.17630711551976,727.2245892889688,0.0,
ID2141 → ID2113,0,2141,2113,6.887103711958979,2.739577941980132,2.6243291927574517,2.6243291927574517,8.5,482.0264379429509,718.5445350683666,0.0,
ID2441 → ID2455,0,2441,2455,0.7535462947755005,3.0769692805103936,0.8680704434407962,0.8680704434407962,66.5,499.37430402285986,726.2242112614485,0.0,
ID2157 → ID2119,0,2157,2119,5.594495830288194,1.9856400042211813,2.365268659219961,2.365268659219961,10.5,484.37519043122444,721.825238904627,0.0,
ID2277 → ID2289,0,2277,2289,4.881314088767848,2.980763539570443,2.209369613434531,2.209369613434531,34.5,480.94011533060024,727.765232245282,0.0,
ID2383 → ID2376,0,2383,2376,5.269403112527354,0.41388141774343673,2.2955180488350235,2.2955180488350235,49.5,487.45155531246064,728.093428857348,0.0,
ID2104 → ID2152,0,2104,2152,3.7692853736400878,0.6366558179815964,1.9414647495229183,1.9414647495229183,12.5,487.99911840159757,724.6491508115788,0.0,
ID2331 → ID2352,0,2331,2352,52.48624545654532,0.8810537455960338,7.2447391572468165,7.2447391572468165,45.5,487.9580227340157,727.7895875055631,0.0,
ID2192 → ID2197,0,2192,2197,1.7021817179155723,1.6482020443931356,1.3046768634093164,1.3046768634093164,18.5,486.32247148840474,725.4303378027791,0.0,
ID2201 → ID2207,0,2201,2207,2.1981485738685285,2.053312702154175,1.4826154504349833,1.4826154504349833,20.5,485.02659899384446,725.2595211848353,0.0,
ID2428 → ID2442,0,2428,2442,0.3437326929067556,2.1805483315087772,0.5862872102534351,0.5862872102534351,62.5,495.52835356960543,730.4877496110746,0.0,
ID2296 → ID2306,0,2296,2306,0.3222712805528858,0.2175575423656509,0.5676894226184647,0.5676894226184647,36.5,479.72755335207023,729.604468037684,0.0,
ID2179 → ID2172,0,2179,2172,36.5227833691744,3.005802805013995,6.043408257694858,6.043408257694858,14.5,487.1083721065852,726.4174837860467,0.0,
ID2318 → ID2325,0,2318,2325,14.386126140839215,1.902574619814565,3.792904710223975,3.792904710223975,40.5,481.9790865498742,727.1786935113029,0.0,
ID2289 → ID2296,0,2289,2296,1.8467389839642616,1.266996621547675,1.3589477487984083,1.3589477487984083,35.5,479.7767901566974,728.6471458180829,0.0,
ID2346 → ID2336,0,2346,2336,8.891292324045871,3.0209220138484576,2.981827011086638,2.981827011086638,43.5,482.2695453302508,726.5231247565897,0.0,
ID2165 → ID2137,0,2165,2137,7.886067521993631,1.2329100729986022,2.8082142941723003,2.8082142941723003,6.5,481.7935136687603,716.4710828439486,0.0,
ID2418 → ID2432,0,2418,2432,0.9285730316784921,2.894882613119792,0.9636249434704833,0.9636249434704833,59.5,488.1067681743544,732.9340543364681,0.0,
ID2342 → ID2346,0,2342,2346,14.16236530874068,2.669530377256933,3.7632918181747055,3.7632918181747055,42.5,482.706998593791,726.5690273785792,0.0,
ID2449 → ID2441,0,2449,2441,8.94571766118085,2.1452787497438615,2.9909392606973566,2.9909392606973566,65.5,498.8586079932042,727.1534100388037,0.0,
ID2119 → ID2104,0,2119,2104,12.470269031418749,1.3615438693244415,3.5313268089230636,3.5313268089230636,11.5,486.61355279073786,722.4363494038362,0.0,
ID2376 → ID2370,0,2376,2370,7.000377515679842,2.670446702207178,2.645822653860202,2.645822653860202,50.5,487.29358427575846,727.513271015037,0.0,
ID2365 → ID2383,0,2365,2383,2.8234435275663485,0.31508172624937425,1.6803105449786204,1.6803105449786204,48.5,489.3782161043711,727.8160407054723,0.0,
ID2235 → ID2192,0,2235,2192,0.43115100242174315,2.9641943798794435,0.6566208970340063,0.6566208970340063,17.5,486.93617107861655,725.7818818279263,0.0,
ID2172 → ID2186,0,2172,2186,5.447180967575028,2.9645304031299804,2.3339196574807426,2.3339196574807426,15.5,487.7436047511404,724.6435566019154,0.0,
ID2325 → ID2342,0,2325,2342,0.9133633013698883,1.2470239973210702,0.95570042448975,0.95570042448975,41.5,484.07595372301256,727.1105796126805,0.0,
ID2216 → ID2231,0,2216,2231,11.541958461408566,3.1069730213677778,3.3973457965606864,3.3973457965606864,23.5,485.5484349630705,727.6866144787757,0.0,
ID2231 → ID2225,0,2231,2225,1.9956460485218819,3.0536344836886813,1.4126733693681217,1.4126733693681217,24.5,484.70709515960135,727.1516797130066,0.0,
