LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_0,0,0,361,0,0,0,0,0,360.0,0.0,360.0,30.862899359121457,416.3416820783715,823.3226961369606,0.0,2.9534000209977083,8.47545789586745,0.21304448845992327,2.685595865224415,1.5338837442363211,573.8947368421053,1063.2240075591756,36.54726652798706,0.029027654699006342,0.0857302759975596,0.029027654699006356,1.6585856574873863
Track_1,1,1,174,0,0,0,0,0,173.0,0.0,173.0,39.991196341553,636.7236254613601,846.8891332127873,0.0,2.7805814307109284,8.258569813052349,0.08191801452800777,2.5592172588059086,1.4991214458810556,673.2528735632184,481.0405875129911,39.991196341553,0.08313476529768496,0.23116298463325433,0.08313476529768504,1.7523069246753942
Track_2,2,2,6,0,0,0,0,0,5.0,174.0,179.0,43.19080264273955,673.6012711869313,886.2304302508073,0.0,9.100523185152099,14.891469861539676,0.433766510350571,10.608659691721485,6.226932609117316,481.3333333333333,45.502615925760495,43.19080264273955,0.9491938378489542,8.63816052854791,0.9491938378489543,0.5303696812895324
Track_3,3,3,4,0,0,0,0,0,3.0,180.0,183.0,6.667538979164577,671.1175827153616,918.8802955780372,0.0,6.449466282988801,9.231385096837386,3.6929467328217833,6.424067019307237,2.769306541346882,327.75,19.348398848966408,6.667538979164577,0.34460417273860144,2.2225129930548593,0.34460417273860156,1.506872778563486
Track_4,4,4,4,0,0,0,0,0,3.0,201.0,204.0,16.45742029660087,671.5961320166474,886.9025856490267,0.0,5.636669393414861,7.5326606588655025,2.512335666107286,6.865011855271793,2.726267532897085,405.0,16.91000818024458,16.45742029660087,0.973235501791628,5.485806765533623,0.9732355017916279,0.35079708474021043
Track_5,5,5,3,0,0,0,0,0,2.0,208.0,210.0,15.65941594850805,700.2355774769181,878.8889789230572,0.0,7.842215047880147,9.02996312378481,6.654466971975483,9.02996312378481,1.6797294376269234,254.66666666666666,15.684430095760295,15.65941594850805,0.9984051605892262,7.829707974254025,0.9984051605892262,0.11428934927017294
Track_6,6,6,14,0,0,0,0,0,13.0,227.0,240.0,35.408514952881255,782.4193085138114,936.5950237921036,0.0,4.523539251164147,10.876335977467784,0.3530328943056236,4.382842057057304,3.4593784271785935,401.57142857142856,58.8060102651339,40.37054488144952,0.6021240821004137,2.7237319194524043,0.6021240821004137,0.8942740536367605
