LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(pixel/frame),(pixel),(frame),(pixel),(pixel),(pixel),
ID27254 → ID27257,0,27254,27257,53.46935034708075,NaN,7.3122739518620845,7.3122739518620845,0.5,598.4762877183191,738.8768038062542,0.0,
ID27252 → ID27262,0,27252,27262,50.57175599015735,0.281130877628258,7.111382143448441,7.111382143448441,2.5,609.623195636472,729.657974054282,0.0,
ID27257 → ID27252,0,27257,27252,54.874683875407115,0.2999713914849778,7.407744857607281,7.407744857607281,1.5,604.1102929253402,734.2704713967472,0.0,
ID27260 → ID27259,0,27260,27259,7.3594283006078225,0.30041486748731855,2.7128266256080247,2.7128266256080247,4.5,614.7486649636825,724.1673967958418,0.0,
ID27262 → ID27260,0,27262,27260,8.248936405864729,0.5881091996133511,2.8720961693273312,2.8720961693273312,3.5,613.2463574972551,726.4839539692205,0.0,
ID27259 → ID27264,0,27259,27264,8.507532692398742,0.45807642522460335,2.9167675074298844,2.9167675074298844,5.5,617.0058550039093,722.6116668141889,0.0,
ID27253 → ID27251,0,27253,27251,181.32671764897339,0.3584643820384032,13.465760938356711,13.465760938356711,7.5,628.4826264835988,719.5838629166767,0.0,
ID27264 → ID27253,0,27264,27253,14.806618952086119,0.37095205461723646,3.8479369735075077,3.8479369735075077,6.5,620.2824780333088,722.0439075905024,0.0,
ID27258 → ID27261,1,27258,27261,16.32043483533463,0.019922871699815964,4.039855793878617,4.039855793878617,12.5,695.3104997564114,689.2683541898439,0.0,
ID27276 → ID27274,1,27276,27274,9.935027989375186,0.009072613278233905,3.151987942453966,3.151987942453966,17.5,731.8443104896487,678.5931550511076,0.0,
ID27269 → ID27270,1,27269,27270,108.69817378389925,0.5092175947325241,10.425841634318989,10.425841634318989,19.5,741.5542966630753,672.1802015756214,0.0,
ID27265 → ID27276,1,27265,27276,103.42324494860297,0.11381897729932622,10.16972197007386,10.16972197007386,16.5,725.3910103962061,680.2427753194927,0.0,
