LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID44439,44439,0,474.0,296.7961388593695,16.27364505844846,0.0,16.0,16,12.23784300640736,1,,2481.5508474576272,2246.0,1024.0,4095.0,1171292.0,952.4074343346584,0.6643969586184637,2.0801809722397597,-0.08210200051224094,0.016251207037989115,13.282574333897172,11.465169888709417,1.1910253614453103,1.158515265175223,470.49999999999994,85.18846470568764,0.8147191211345381,0.95630081300813,3.927362395498179
ID44505,44505,0,485.0,294.798300381547,16.413284772806104,0.0,18.0,18,12.36721069244441,1,,2437.4395833333333,2091.0,1175.0,4095.0,1169971.0,1004.4900182479394,0.6944013504525494,1.9888979391167367,-0.05702839731927208,-0.18356344451932366,14.846415006749178,10.472662120162667,0.5723522776771038,1.4176352522789664,480.4999999999998,91.12542332327874,0.7271502174586708,0.939393939393939,4.157122888411948
ID44508,44508,0,489.0,296.7755102040816,13.742857142857142,0.0,17.0,17,12.488868813069399,1,,2462.6897959183675,2146.0,1039.0,4095.0,1206718.0,972.0713562144284,0.6379472018455944,1.9734512336319334,0.006855977497755138,0.00272550577008608,13.286629588613701,11.836825951258863,1.0254767417687334,1.1224824664419983,489.99999999999994,84.61285836275303,0.8600688349839394,0.9598432908912831,3.822419310907502
ID44260,44260,0,499.0,302.21020272515784,16.148720505151214,0.0,6.0,6,12.634571932644613,1,,2506.4870775347913,2290.0,945.0,4095.0,1260763.0,923.771556057494,0.6707829850710045,2.178677126551014,0.040698634974470196,0.013669966118982644,12.789121424935235,12.679873221392914,1.0217455287569486,1.0086158750671106,501.5,82.78279511655346,0.9196035292097907,0.9766309639727361,3.6966183698755044
ID44774,44774,0,378.0,271.89770723104056,15.75485008818342,0.0,27.0,27,10.969099187147178,1,,2249.071618037135,1878.0,1101.0,4095.0,847900.0,913.0013357088534,0.6182352856976997,1.8822356283408483,0.11214023238371663,-0.35939874666500465,15.634737418205232,8.216214112438218,0.8105192745176466,1.902912607223367,378.0,88.33280515057608,0.6087761350681798,0.8999999999999999,4.5433492487608715
ID44711,44711,0,473.0,277.54670912951167,10.956121726822364,0.0,24.0,24,12.244343853084388,1,,2357.0339702760084,1997.0,1066.0,4095.0,1110163.0,936.6273691446352,0.6507229692758629,1.9840423389912263,-0.22980616388501804,-0.03684018068767277,17.749775198550484,8.636249999499677,0.10295789441430991,2.0552641713219026,471.00000000000006,93.69922984781618,0.6741533991720491,0.9299111549851925,4.317432612223502
ID44775,44775,0,367.0,277.02523874488406,10.193042291950887,0.0,26.0,26,10.800952424965095,1,,2267.6164383561645,2108.0,888.0,4095.0,827680.0,832.7808477555059,0.5407917708557176,1.9114149902829272,-0.06394376938043682,0.03955603563581706,16.618732568729897,7.220164674084014,0.5800285851489329,2.30171101614635,366.5000000000002,89.88102265761634,0.5700957884984783,0.8895631067961173,4.694950477222465
ID44584,44584,0,392.0,293.2384288747346,11.55859872611465,0.0,20.0,20,11.177505550306734,1,,2441.531806615776,2171.0,1007.0,4095.0,959522.0,975.8300729410652,0.6127645852556947,1.9012571623946701,0.33508809460854616,0.02580507005771025,16.819502248360564,7.560142235292816,0.12211308825393316,2.224760027641083,392.5,85.99171404606203,0.6670160953297751,0.9278959810874704,4.34047016285079
ID44077,44077,0,505.0,297.693399339934,16.636633663366336,0.0,12.0,12,12.678584010953838,1,,2524.7841584158414,2355.0,1033.0,4095.0,1275016.0,896.4089684052906,0.640195637507727,2.1986956504747344,0.2034285564459983,0.07654143822104328,13.187108244502467,12.630735652820103,1.7977714949234629,1.0440491042624378,505.0000000000001,81.77399031899468,0.9490101581927561,0.9882583170254405,3.6388948090143187
ID44654,44654,0,455.0,285.29366812227073,10.666666666666666,0.0,23.0,23,12.074184356393442,1,,2332.7298474945533,1982.0,780.0,4095.0,1070723.0,971.5775634465675,0.6635909598947983,1.9154502391255022,-0.5684879413719898,-0.37722770550326906,17.278317001419,8.899987067782508,0.30564369400054026,1.9413867536915435,457.99999999999994,102.9610400344019,0.5429120742259442,0.8707224334600759,4.811053449576814
