LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID15384,15384,0,4.0,414.5,280.5,0.0,28.0,28,1.1283791670955126,1,,1138.25,1148.0,1110.0,1165.0,4553.0,23.641418457162562,0.1652945442136245,13.6589379039071,0.0,1.9577181618906308E-16,1.6180339887498951,1.2720196495140692,1.5707963267948966,1.272019649514069,4.0,8.0,0.7853981633974483,1.0,4.0
ID15322,15322,0,46.0,425.440074906367,265.0805243445693,0.0,11.0,11,3.763613946086751,1,,1200.1739130434783,1142.0,949.0,1934.0,55208.0,197.27761649770224,0.4514240645535909,3.7843104203554043,-0.19190063906008079,0.06654701797310644,5.543629300977718,2.5550470113564705,-0.11841572692866917,2.1696780044898722,44.5,37.972803760081376,0.38781494856965243,0.7946428571428571,5.692363947640438
ID15261,15261,0,13.0,418.22727272727275,273.6818181818182,0.0,18.0,18,1.8712051592547776,1,,1281.909090909091,1319.0,1046.0,1695.0,14101.0,243.05655907440743,0.27531993789662507,2.2771854032353396,-0.18686100239030803,0.19894625824951218,2.312028033064408,2.1612569924078455,-0.4218093779406824,1.069760811040148,11.0,13.659736682863223,0.7408288625196248,0.9565217391304348,4.118565573828291
ID15326,15326,0,10.0,417.8333333333333,272.6578947368421,0.0,19.0,19,1.738949084575512,1,,1202.8,1229.0,947.0,1724.0,12028.0,234.32968228545013,0.28843184622090234,2.298147348123948,-0.06640718385651169,-0.0818915574110885,2.1583199887141125,1.7900140325646483,-0.7295648339613431,1.2057559043946557,9.5,12.358485472372255,0.7816331436547584,0.95,4.009622152704221
ID15264,15264,0,44.0,425.9418604651163,260.20542635658916,0.0,7.0,7,3.6996385101659595,1,,1163.9318181818182,1128.0,990.0,1645.0,51213.0,139.2629097564267,0.4729434223759744,5.367168074321563,0.04142560272726357,0.2592554588050657,5.572081511365069,2.7629803705025164,3.045861338640059,2.016692398850321,43.0,34.28593211071123,0.4596702509446439,0.8113207547169812,5.228555629404205
ID15330,15330,0,6.0,423.14102564102564,270.21794871794873,0.0,16.0,16,1.438406847937898,1,,1276.4285714285713,1253.0,1029.0,1631.0,8935.0,208.05116129040402,0.2721803976008685,2.6252127988182625,-0.04643104643104083,-0.06930006930008076,1.9652292175776322,1.4619805569566455,0.6245228861991277,1.3442239079215814,6.5,9.886349517372675,0.8357017280308787,1.0,3.8777453159447606
ID15395,15395,0,5.0,416.7666666666667,274.56666666666666,0.0,23.0,23,1.2615662610100802,1,,1156.6,1183.0,1021.0,1323.0,5783.0,122.74689405439146,0.27514608062915724,4.06636222593264,-0.11414464905261693,-0.3548972511342373,-0.842300784273709,NaN,-0.1404722279002664,NaN,5.0,9.23606797749979,0.7365557547446142,1.0,4.1304951684997055
ID15269,15269,0,42.0,427.45473251028807,253.75925925925927,0.0,1.0,1,3.5904805236128943,1,,1196.1707317073171,1213.0,950.0,1470.0,49043.0,115.56792427811111,0.3019707047963473,4.801196210456701,0.14291876909011564,0.29458402093030345,4.982330563366527,2.8984886532907916,-1.3470774054829986,1.71894085481751,40.5,34.1311845071176,0.4368800026627244,0.7941176470588235,5.36319822553602
ID15333,15333,0,54.0,424.3333333333333,266.40384615384613,0.0,12.0,12,4.068428945128219,1,,1178.6538461538462,1157.0,963.0,1723.0,61290.0,164.47025890217483,0.3690225787837612,3.863413792305184,-0.19291187089127385,0.45525205643704286,5.785717949168947,3.2600419283432274,2.452910459628588,1.7747372814033968,52.0,37.9530389222443,0.45364914425402575,0.7536231884057971,5.263139534378169
ID15401,15401,0,4.0,416.5,277.5,0.0,26.0,26,1.1283791670955126,1,,1144.25,1150.0,1070.0,1263.0,4577.0,85.9704406564644,0.1804504814305365,4.0692281051723125,0.0,1.9577181618906308E-16,1.6180339887498951,1.2720196495140692,1.5707963267948966,1.272019649514069,4.0,8.0,0.7853981633974483,1.0,4.0
ID15276,15276,0,5.0,420.95454545454544,271.0151515151515,0.0,17.0,17,1.3231418571003069,1,,1211.8333333333333,1215.0,1027.0,1401.0,7271.0,131.27439455837023,0.2113286130778842,3.220988638003761,0.04545454545456087,-0.015151515151501285,1.5811388300841898,1.5811388300841895,0.36426947239623986,1.0000000000000002,5.5,9.122417494872465,0.8305249144042437,1.0,3.8898118896035254
ID15279,15279,0,54.0,426.63271604938274,264.0833333333333,0.0,10.0,10,4.145929793656026,1,,1201.1454545454546,1191.0,942.0,1742.0,66063.0,158.6983416307922,0.4827080160746055,4.928129195927166,0.04162381044947635,0.02832428949840034,6.030614089682764,3.050304525185703,-0.09572582101582994,1.9770531236764366,54.0,32.71697094474451,0.6339535632654966,0.8925619834710744,4.452215819115941
ID15344,15344,0,10.0,415.30392156862746,279.2450980392157,0.0,27.0,27,1.6448811606198852,1,,1097.888888888889,1093.0,1019.0,1219.0,9881.0,68.31076863212058,0.2202343279665334,5.80150924211981,1.8114630467572013,0.4087481146304748,4.050957468334721,1.946017021642083,0.3217505543966406,2.081665999466157,8.5,11.886349517372675,0.7560174098509501,1.0,4.076984249477513
ID15350,15350,0,5.0,416.2333333333333,273.56666666666666,0.0,22.0,22,1.2615662610100802,1,,1332.8,1355.0,1164.0,1487.0,6664.0,130.31768874561885,0.24316761496129094,4.000991768797994,-0.27654427083329164,-0.06666666666666284,NaN,-0.8418312607990052,0.0,NaN,5.0,9.23606797749979,0.7365557547446142,1.0,4.1304951684997055
ID15288,15288,0,32.0,423.61616161616166,256.3030303030303,0.0,3.0,3,3.2410224072142872,1,,1186.6666666666667,1181.0,917.0,1392.0,39160.0,127.71762472997479,0.361037576824825,4.929356131518317,0.3685677984170518,0.08337242537952932,4.7471548075511665,2.8338397850446424,-0.9934986978388602,1.6751669704843186,33.0,23.376012956261906,0.7588971560138544,1.0,4.069241541016095
ID15355,15355,0,4.0,416.5,275.5,0.0,24.0,24,1.1283791670955126,1,,1292.0,1346.0,1070.0,1529.0,5168.0,194.1906279921871,0.244501525124418,2.614269658199425,0.0,1.9577181618906308E-16,1.6180339887498951,1.2720196495140692,1.5707963267948966,1.272019649514069,4.0,8.0,0.7853981633974483,1.0,4.0
ID15293,15293,0,13.0,424.0466666666666,269.78,0.0,15.0,15,1.9947114020071635,1,,1327.4166666666667,1313.0,1006.0,1806.0,15929.0,318.988303670821,0.2770189969069764,1.8054052343795486,-0.31271731740623737,-0.17697506390765416,2.882777250199431,1.8292994742155313,0.2849787848622055,1.5758913676152826,12.5,15.727968770336455,0.6350012800215731,0.8620689655172413,4.448541348718061
ID15298,15298,1,14.0,434.4310344827586,256.2011494252873,0.0,0.0,0,2.1483699284957805,1,,1061.0,1048.0,849.0,1298.0,15915.0,109.65921236787567,0.11256750380118495,1.9578838418038442,0.07909893911394329,0.193847062450336,2.8221844396947398,1.98281685231033,1.8800528740578575,1.423320785480716,14.5,16.358485472372255,0.6809130864703482,0.8787878787878788,4.295948748729589
ID15270,15270,1,14.0,433.92528735632186,255.58045977011494,0.0,1.0,1,2.1483699284957805,1,,1087.0,1048.0,897.0,1368.0,15218.0,139.47428767725225,0.15724737807778555,2.1179836100165166,0.025703205688782628,-0.16914891238890037,3.2666317182602675,1.8700286908290262,2.080346297106576,1.746835080274675,14.5,22.358485472372255,0.3644962819480036,0.6590909090909091,5.871625943046259
ID15303,15303,1,5.0,433.95454545454544,256.0151515151515,0.0,2.0,2,1.3231418571003069,1,,1128.3333333333333,1149.0,914.0,1346.0,6770.0,142.3357532971483,0.1959862912058792,2.598082290877291,0.04545454545456087,-0.015151515151501285,1.5811388300841898,1.5811388300841895,0.36426947239623986,1.0000000000000002,5.5,9.122417494872465,0.8305249144042437,1.0,3.8898118896035254
ID15289,15289,1,24.0,430.1808510638298,257.75531914893617,0.0,3.0,3,2.7350104799285653,1,,1173.4782608695652,1123.0,892.0,1734.0,26990.0,161.6429481534751,0.2320751134179515,2.734888766517981,0.030846709830084987,0.2573878912750285,3.6269670834299017,2.4541786717432967,-1.2128342285416542,1.4778740949832836,23.5,21.659048552118026,0.6295046994812196,0.8545454545454545,4.467920570081057
ID15872,15872,2,341.0,520.6469586374697,391.6542579075426,0.0,225.0,225,10.441318691523035,1,,1499.7609329446063,1430.0,810.0,2514.0,514418.0,396.19890006261124,0.5054837394341933,2.5419668771007067,0.21260701495996148,0.021296079947281228,15.018132598817314,7.82759043514755,1.243462816962648,1.9186150224956453,342.5,90.99846207830943,0.5197593787884528,0.8726114649681529,4.917040264763614
ID15873,15873,2,281.0,521.8989266547406,390.40280262373284,0.0,226.0,226,9.432264478287783,1,,1431.078853046595,1379.0,937.0,2154.0,399271.0,302.47454417676005,0.42088964562460834,2.8029323838121454,-0.009418170354439263,0.26625655376302526,11.666360603160184,8.081050292792886,1.4427208607630944,1.443668852496175,279.49999999999994,74.00644469955002,0.6412872334465727,0.9030694668820677,4.426685162508147
