LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_0,0,0,361,0,0,0,0,0,360.0,0.0,360.0,8.135214186676057,505.2868437564603,554.3268436832115,0.0,2.889952795129487,9.478723121729455,0.0581886322520489,2.5304870187107578,1.6521773860833702,878.2742382271468,1040.383006246615,23.141937906553903,0.007819441626623095,0.02259781718521127,0.007819441626623092,1.8236291893470618
Track_1,1,1,11,1,0,0,0,1,11.0,0.0,11.0,24.191791556665002,128.97203847740693,1041.921444604658,0.0,3.855671886666695,11.232749312505797,0.7878900194986866,3.836831255197342,3.022488605125979,1025.6363636363637,40.13531198014361,28.330434463999698,0.6027557869397789,2.1992537778786367,0.5703944325459539,1.2581724583267682
Track_2,2,2,122,0,0,0,0,0,121.0,0.0,121.0,171.87773835713676,724.5053649489254,479.14733647445115,0.0,2.2448730545651543,10.54769151142906,0.1985456536431169,2.1111676927543215,1.4508238323056588,1243.139344262295,271.6296396023837,172.175696036649,0.6327650348052387,1.4204771765052626,0.6327650348052388,1.0009332070907084
Track_3,3,3,12,0,0,0,0,0,11.0,7.0,18.0,4.954062004460734,551.7815798641791,1227.0287097744924,0.0,0.904249662094031,1.6591900171444363,0.29663027697844635,0.860977141461075,0.4896120022109275,697.3333333333334,9.946746283034336,4.954062004460734,0.49805854733729643,0.450369273132794,0.49805854733729615,1.612990832028276
Track_4,4,4,35,1,0,0,0,1,35.0,0.0,35.0,7.066810203268127,445.7429674636787,753.5636228388479,0.0,1.801207435433955,3.301341639321018,0.23577235499397758,1.8154799853788408,0.7898264520252186,742.2571428571429,62.66046520539238,16.07940435554262,0.11277940851706249,0.2019088629505179,0.11209639654961402,1.1033470086606867
Track_5,5,5,13,0,0,0,0,0,12.0,0.0,12.0,2.388560617220747,184.5305671126883,1024.6142576658485,0.0,2.2889065634234895,4.783409037952691,0.08801900713424621,2.4940417951751375,1.3372212182093461,980.0769230769231,27.466878761081876,12.827501067815847,0.08696148688744076,0.19904671810172891,0.08696148688744078,1.207559569333656
Track_6,6,6,20,1,0,0,0,1,20.0,0.0,20.0,3.569940787092294,385.35223325491745,631.515724090657,0.0,1.9502982586166198,6.764012443379352,0.48478253492666623,1.7604425999068214,1.4194323509002318,746.7,40.470398463619794,7.332106548311931,0.08821115982590173,0.1784970393546147,0.09152294453732719,1.5879167425667473
